,Opponent,Location,Result,Attend,Playing,O Score,H Score,OT
2013-09-08,Atlanta,"New Orleans, LA",W,"72,348",Home,17,23,False
2013-09-15, Tampa Bay,"Tampa, FL",W,"60,870",Away,14,16,False
2013-09-22,Arizona,"New Orleans, LA",W,"73,057",Home,7,31,False
2013-09-30,Miami,"New Orleans, LA",W,"73,118",Home,17,38,False
2013-10-06, Chicago,"Chicago, IL",W,"62,361",Away,18,26,False
2013-10-13, New England,"Foxborough, MA",L,"68,756",Away,27,30,False
2013-10-27,Buffalo,"New Orleans, LA",W,"72,405",Home,17,35,False
2013-11-03, NY Jets,"East Rutherford, NJ",L,"76,957",Away,20,26,False
2013-11-10,Dallas,"New Orleans, LA",W,"73,018",Home,17,49,False
2013-11-17,San Francisco,"New Orleans, LA",W,"73,025",Home,20,23,False
2013-11-21, Atlanta,"Atlanta, GA",W,"70,422",Away,13,17,False
2013-12-02, Seattle,"Seattle, WA",L,"68,387",Away,7,34,False
2013-12-08,Carolina,"New Orleans, LA",W,"73,089",Home,13,31,False
2013-12-15, St. Louis,"St. Louis, MO",L,"58,442",Away,16,27,False
2013-12-22, Carolina,"Charlotte, NC",L,"73,825",Away,13,17,False
2013-12-29,Tampa Bay,"New Orleans, LA",W,"73,150",Home,17,42,False
2014-09-07, Atlanta,"Atlanta, GA",L,"70,706",Away,34,37,True
2014-09-14, Cleveland,"Cleveland, OH",L,"67,407",Away,24,26,False
2014-09-21,Minnesota,"New Orleans, LA",W,"73,005",Home,9,20,False
2014-09-28, Dallas,"Arlington, TX",L,"91,176",Away,17,38,False
2014-10-05,Tampa Bay,"New Orleans, LA",W,"73,004",Home,31,37,True
2014-10-19, Detroit,"Detroit, MI",L,"63,271",Away,23,24,False
2014-10-26,Green Bay,"New Orleans, LA",W,"73,146",Home,23,44,False
2014-10-30, Carolina,"Charlotte, NC",W,"73,663",Away,10,28,False
2014-11-09,San Francisco,"New Orleans, LA",L,"73,129",Home,24,27,True
2014-11-16,Cincinnati,"New Orleans, LA",L,"73,073",Home,10,27,False
2014-11-24,Baltimore,"New Orleans, LA",L,"73,373",Home,27,34,False
2014-11-30, Pittsburgh,"Pittsburgh, PA",W,"61,916",Away,32,35,False
2014-12-07,Carolina,"New Orleans, LA",L,"73,006",Home,10,41,False
2014-12-15, Chicago,"Chicago, IL",W,"60,996",Away,15,31,False
2014-12-21,Atlanta,"New Orleans, LA",L,"73,164",Home,14,30,False
2014-12-28, Tampa Bay,"Tampa, FL",W,"59,952",Away,20,23,False
